"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-19","6.71","0.01","0.0","0.0",,"76","56","  140","  140",,"14.1","17.0",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-20","4.25","0.11","0.0","0.0",,"72","62","   50","   50",,"12.1","14.1",,,"    1",,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-21","3.80","0.00","0.0","0.0",,"70","59","   50","   70",,"12.1","13.0","    1","    1",,,,,,,,"    1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-22","4.47","0.00","0.0","0.0",,"78","59","   70","   70",,"13.0","14.1","    1","    1",,,,,,,,"    1","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-23","5.14","0.00","0.0","0.0",,"83","59","  140","  120",,"15.0","21.0",,,,,,,"    1",,,"    1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-24","8.72","0.10","0.0","0.0",,"67","54","  100","  100",,"19.9","23.9","    1",,,,,,,,,"    1","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-25","9.17","0.20","0.0","0.0",,"62","51","   40","   30",,"17.9","21.9","    1",,,,,,,,,"    1","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-26","17.00","0.00","0.0","0.0",,"60","42","  340","  340",,"33.1","40.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-27","7.61","0.00","0.0","0.0",,"56","34","  350","  360",,"17.0","21.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03-28","11.86","0.01","0.0","0.0",,"72","46","  200","  220",,"21.9","25.9",,,,,,,,,,,,,"    1",,,,
